iter	Passed	Remaining
0	1	115
1	2	106
2	2	95
3	3	88
4	4	86
5	5	82
6	6	83
7	7	82
8	8	82
9	9	82
10	9	80
11	11	85
12	12	82
13	13	80
14	13	79
15	15	79
16	16	79
17	17	77
18	18	77
19	19	76
20	20	76
21	21	75
22	22	74
23	23	72
24	24	72
25	25	73
26	26	72
27	27	71
28	28	70
29	30	70
30	31	69
31	32	68
32	32	66
33	33	65
34	34	63
35	35	62
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	56
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	86	14
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	92	8
92	93	7
93	93	5
94	94	4
95	95	3
96	96	2
97	98	2
98	99	1
99	100	0
